E6A55_00320,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00325,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00330,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00335,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00340,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00345,"gstA",Dispensable
E6A55_00350,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00355,"hydA",Dispensable
E6A55_00360,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00365,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00370,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00375,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00380,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00385,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00390,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00395,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00400,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00405,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00410,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00415,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00420,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00425,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00430,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00435,"minE",Dispensable
E6A55_00440,"minD",Dispensable
E6A55_00445,"minC",Dispensable
E6A55_00450,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00455,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00460,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00465,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00470,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00475,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00480,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00485,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00490,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00495,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00500,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00505,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00510,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00515,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00520,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00525,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00530,"mnmE",Dispensable
E6A55_00535,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00540,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00545,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00550,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00555,"gatB",Essential
E6A55_00560,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00565,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00570,"gatA",Dispensable
E6A55_00575,"gatC",Dispensable
E6A55_00580,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00585,"mreC",Dispensable
E6A55_00590,"mreD",Dispensable
E6A55_00595,"mrdA",Dispensable
E6A55_00600,"rodA",Dispensable
E6A55_00605,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00610,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00615,"gcvA",Dispensable
E6A55_00620,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00625,"lipB",Dispensable
E6A55_00630,"lipA",Dispensable
E6A55_00635,"pxpB",Dispensable
E6A55_00640,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00645,"pxpA",Dispensable
E6A55_00650,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00655,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00660,"pcp",Dispensable
E6A55_00665,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00670,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00675,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00680,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00685,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00690,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00695,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00700,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00705,"rfaE2",Dispensable
E6A55_00710,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00715,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00720,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00725,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00730,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00735,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00740,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00745,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00750,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00755,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00760,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00765,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00770,"metH",Dispensable
E6A55_00775,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00780,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00785,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00790,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00795,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00800,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00805,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00810,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Essential
E6A55_00815,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00820,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00825,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00830,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00835,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00840,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00845,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00850,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00855,"aceK",Dispensable
E6A55_00860,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00865,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00870,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00875,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00880,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00885,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00890,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00895,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00900,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00905,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00910,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00915,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00920,"bioF",Dispensable
E6A55_00925,"bioD",Dispensable
E6A55_00930,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00935,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00940,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00945,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00950,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00955,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00960,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00965,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00970,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00975,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00980,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00985,"dksA",Dispensable
E6A55_00990,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_00995,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01000,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01005,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01010,"hslV",Dispensable
E6A55_01015,"hslU",Dispensable
E6A55_01020,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01025,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01030,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01035,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01040,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01045,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01050,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01055,"argB",Dispensable
E6A55_01060,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01065,"slmA",Dispensable
E6A55_01070,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01075,"metW",Dispensable
E6A55_01080,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01085,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01090,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01095,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01100,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01105,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01110,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01115,"argC",Dispensable
E6A55_01120,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01125,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01130,"xth",Dispensable
E6A55_01135,"pyrE",Dispensable
E6A55_01140,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01145,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01150,"dapF",Dispensable
E6A55_01155,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01160,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01165,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Essential
E6A55_01170,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01175,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01180,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01185,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01190,"thiC",Dispensable
E6A55_01195,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01200,"thiS",Dispensable
E6A55_01205,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01210,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01215,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01220,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01225,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01230,"thiD",Dispensable
E6A55_01235,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01240,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01245,"metF",Dispensable
E6A55_01250,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01255,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01260,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01265,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01270,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01275,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01280,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01285,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01290,"incomplete; partial on complete genome; missingN-terminus and C-terminus; Derived by automatedcomputational analysis using gene prediction method:Protein Homology.",Dispensable
E6A55_01295,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01300,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01305,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01310,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01315,"ttcA",Dispensable
E6A55_01320,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01325,"glmU",Dispensable
E6A55_01330,"glmS",Dispensable
E6A55_01335,"frameshifted; Derived by automated computationalanalysis using gene prediction method: Protein Homology.",Dispensable
E6A55_01340,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01345,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01350,"bfr",Dispensable
E6A55_01360,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01365,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01370,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01375,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01380,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01385,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01390,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01395,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01400,"Derived by automated computational analysis usinggene prediction method: GeneMarkS-2+.",Dispensable
E6A55_01405,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01410,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01415,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01420,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01425,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01430,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01435,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01440,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01445,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01450,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01455,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01460,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01465,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01470,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01475,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01480,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01485,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01490,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01495,"creC",Dispensable
E6A55_01500,"creB",Dispensable
E6A55_01505,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01510,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01515,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01520,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01525,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01530,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01535,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01540,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01545,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01550,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01555,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01560,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01565,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01570,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01575,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01580,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01585,"ptsP",Essential
E6A55_01590,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01595,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01600,"nagA",Dispensable
E6A55_01605,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01610,"zwf",Dispensable
E6A55_01615,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01620,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01625,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01630,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01635,"amt",Dispensable
E6A55_01640,"gshA",Dispensable
E6A55_01645,"gshB",Dispensable
E6A55_01650,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01655,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01660,"ptsP",Dispensable
E6A55_01665,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01670,"bfr",Dispensable
E6A55_01675,"mnmH",Dispensable
E6A55_01680,"moeB",Dispensable
E6A55_01685,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01690,"gpmA",Dispensable
E6A55_01695,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01700,"grxC",Dispensable
E6A55_01705,"secB",Dispensable
E6A55_01710,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01715,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01720,"trmL",Dispensable
E6A55_01725,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01730,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01735,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01740,"coxB",Dispensable
E6A55_01745,"ctaD",Dispensable
E6A55_01750,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01755,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01760,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01765,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01770,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01775,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
E6A55_01780,"Derived by automated computational analysis usinggene prediction method: Protein Homology.",Dispensable
